x,y,d/dx,d/dy
5.200001E-01,-3.199999E-01,-2.187008E+10,1.764051E+10
5.200001E-01,-1.999999E-01,-2.904687E+10,1.230440E+10
5.200001E-01,-7.999992E-02,-3.382265E+10,1.962741E+09
5.200001E-01,4.000008E-02,-3.455524E+10,-9.281972E+09
5.200001E-01,1.600001E-01,-3.101388E+10,-1.651251E+10
5.200001E-01,2.800001E-01,-2.438668E+10,-1.812806E+10
5.200001E-01,4.000001E-01,-1.684749E+10,-1.560443E+10
5.200001E-01,5.200001E-01,-1.006965E+10,-1.102136E+10
5.200001E-01,6.400001E-01,-4.673381E+09,-5.789995E+09
5.200001E-01,7.600000E-01,-6.230076E+08,-6.064573E+08
5.200001E-01,8.800001E-01,2.344131E+09,4.264136E+09
5.200001E-01,1.000000E+00,4.506032E+09,8.762260E+09
5.200001E-01,1.120000E+00,6.088674E+09,1.291104E+10
5.200001E-01,1.240000E+00,7.258673E+09,1.675961E+10
5.200001E-01,1.360000E+00,8.134285E+09,2.035993E+10
6.400001E-01,-1.280000E+00,9.681523E+09,-1.528535E+10
6.400001E-01,-1.160000E+00,8.645574E+09,-1.161102E+10
6.400001E-01,-1.040000E+00,7.299245E+09,-7.751484E+09
6.400001E-01,-9.200000E-01,5.546113E+09,-3.727297E+09
6.400001E-01,-8.000000E-01,3.274202E+09,3.806949E+08
6.400001E-01,-6.799999E-01,3.791849E+08,4.377325E+09
6.400001E-01,-5.599999E-01,-3.169914E+09,7.875800E+09
6.400001E-01,-4.399999E-01,-7.180274E+09,1.022023E+10
6.400001E-01,-3.199999E-01,-1.095460E+10,1.046371E+10
6.400001E-01,-1.999999E-01,-1.298364E+10,7.528623E+09
6.400001E-01,-7.999992E-02,-1.192196E+10,1.230160E+09
6.400001E-01,4.000008E-02,-1.133049E+10,-5.740622E+09
6.400001E-01,1.600001E-01,-1.295388E+10,-9.885311E+09
6.400001E-01,2.800001E-01,-1.192230E+10,-1.058886E+10
6.400001E-01,4.000001E-01,-8.520762E+09,-8.826593E+09
6.400001E-01,5.200001E-01,-4.476030E+09,-5.625089E+09
6.400001E-01,6.400001E-01,-7.340312E+08,-1.739621E+09
6.400001E-01,7.600000E-01,2.382457E+09,2.360681E+09
6.400001E-01,8.800001E-01,4.852136E+09,6.426036E+09
6.400001E-01,1.000000E+00,6.765405E+09,1.034490E+10
6.400001E-01,1.120000E+00,8.235633E+09,1.408106E+10
6.400001E-01,1.240000E+00,9.365579E+09,1.763523E+10
6.400001E-01,1.360000E+00,1.023817E+10,2.102387E+10
7.600000E-01,-1.280000E+00,1.193176E+10,-1.632132E+10
7.600000E-01,-1.160000E+00,1.096028E+10,-1.295735E+10
7.600000E-01,-1.040000E+00,9.739617E+09,-9.504596E+09
7.600000E-01,-9.200000E-01,8.213063E+09,-5.999207E+09
7.600000E-01,-8.000000E-01,6.328543E+09,-2.514322E+09
7.600000E-01,-6.799999E-01,4.063706E+09,8.282264E+08
7.600000E-01,-5.599999E-01,1.482189E+09,3.865421E+09
7.600000E-01,-4.399999E-01,-1.142800E+09,6.445924E+09
7.600000E-01,-3.199999E-01,-2.998451E+09,8.434673E+09
7.600000E-01,-1.999999E-01,-1.411815E+09,8.590281E+09
7.600000E-01,-7.999992E-02,1.437020E+10,1.821657E+09
7.600000E-01,4.000008E-02,2.522631E+10,-7.364035E+09
7.600000E-01,1.600001E-01,1.251777E+09,-8.853713E+09
7.600000E-01,2.800001E-01,-3.104488E+09,-7.187326E+09
7.600000E-01,4.000001E-01,-1.916090E+09,-4.781882E+09
7.600000E-01,5.200001E-01,5.882978E+08,-1.883070E+09
